id,verse_id,author,text,source
66000,31104,Rev. George Leo Haydock,"Year of the World 3283, Year before Christ 721.",Haydock Catholic Bible Commentary (1859)
66001,31120,Rev. George Leo Haydock,Year of the World 3287.,Haydock Catholic Bible Commentary (1859)
66002,31123,Rev. George Leo Haydock,Year of the World 3294.,Haydock Catholic Bible Commentary (1859)
66003,31103,Rev. George Leo Haydock,"Tobias, ""good God,"" (Tirinus) is styled Tobis, by the ancient Latin version and St. Ambrose, and Tobit by the Greek and Syriac. These copies and the Hebrew give a genealogy which does not agree. (Calmet) --- Grabe's edition, ""The book of the words (or transactions) of Tobit, Son of Tobiel, son of Ananiel, son of Adouel, (manuscript has Nave) son of Galael, (manuscript, Gamael) of the seed of Asiel, of the tribe of Nephthali, (2) who was made captive in the days of Enemessar, king of the Assyrians, from Thisbe, (manuscript, Thibe) which is on the right properly (manuscript, of Kudis; Haydock) or Cades, capital (Calmet) of Nephthali in Galilee, above Aser. I, Tobit, walked in the ways of truth and of justice all the days of my life."" (Haydock) --- Nehemias and the prophets frequently speak of themselves in the first person. The truth of the history is the same. (Du Hamel) --- Beyond, or behind; (post; Haydock) as the Hebrews speak with reference to a man turned towards the east. Hence this way would be on the west, and Sephet on the north.",Haydock Catholic Bible Commentary (1859)
66004,31104,Rev. George Leo Haydock,"Salmanasar. When Osee was conquered, in the year of the world 3283. See 4 Kings 17:6. --- Truth. His constancy in the observance of the true religion was so much the more wonderful, as he was rich, and lived among the wicked. (Calmet)",Haydock Catholic Bible Commentary (1859)
66005,31105,Rev. George Leo Haydock,"Kindred. Greek adds, ""who went along with me....to Ninive.""",Haydock Catholic Bible Commentary (1859)
66006,31106,Rev. George Leo Haydock,"Younger. ""Very young,"" (Haydock) or the youngest of those who administered their own affairs. The parents of Tobias were deceased. (Calmet) --- Greek, ""when I was young in my country, in the land of Israel, all the tribe,"" etc.",Haydock Catholic Bible Commentary (1859)
66007,31107,Rev. George Leo Haydock,"All, or the greatest part; (Haydock) for some still feared God; (chap. 2:2.; Worthington) and the Greek of Tobias 5:14 or 19 informs us that Ananias and Jonathan accompanied Tobias. (Haydock) --- Greek is more diffuse. (Calmet) --- (4) ""All the tribe of Nephthali, of my father, departed from the house of Jerusalem, which city had been chosen from all the tribes of Israel, for all the tribes to offer sacrifice; and the temple of the tabernacle of the most High was sanctified, and was built for ever; (5) and all the tribes, apostatizing together, sacrificed to Baal, to the heifer; (Comp. ed., to the power of Baal) and the house of Nephthali, of my father, likewise. (6) And I alone went frequently to Jerusalem, at the feasts"" (Haydock) of the Passover, ete. (Menochius) --- The other versions are nearly similar. (Calmet) --- But we cannot specify all these variations. (Haydock) --- The number has induced some to conclude, not improbably, that there were two originals; (Tirinus) the Syriac by the elder, and the Chaldee by the younger Tobias. (Justiniani.) --- But this is destitute of proof. (Calmet)",Haydock Catholic Bible Commentary (1859)
66008,31109,Rev. George Leo Haydock,"Strangers. See Deuteronomy 14:28., (Menochius) Leviticus 27:30. (Calmet) --- Greek, ""And the third I gave to whom it belonged, as Debbora, my father's mother, ordered me, as I was left an orphan by my father; (9) and when I was,"" etc. (Haydock)",Haydock Catholic Bible Commentary (1859)
66009,31111,Rev. George Leo Haydock,"Man. The Jews married young: but the time was not fixed. (Calmet) --- After. Greek, ""Tobias."" They always style the father Tobit. (Haydock)",Haydock Catholic Bible Commentary (1859)
66010,31113,Rev. George Leo Haydock,"Ninive, called Ninus by Pliny, etc. (Menochius) --- It was so large, as easily to receive a whole tribe, which was sold for slaves. (Calmet)",Haydock Catholic Bible Commentary (1859)
66011,31114,Rev. George Leo Haydock,"Meats, such as had been immolated to idols, (Menochius) or were forbidden to the Jews. (Calmet)",Haydock Catholic Bible Commentary (1859)
66012,31116,Rev. George Leo Haydock,"And he. Greek, ""I was his marketter,"" (Haydock) to provide provisions for the palace. ""He set me over all he had, till the day of his death."" (Munster.) --- But this Hebrew author has probably exaggerated the matter, to make Tobias appear as great as he could. These editions add no more, continuing, (15) ""And I went into Media, and I deposited with Gabael, or Gabelus,"" etc.",Haydock Catholic Bible Commentary (1859)
66013,31118,Rev. George Leo Haydock,"Rages means ""rupture,"" by frequent earthquakes, and was (Menochius; Calmet) the residence of the Parthian kings, in spring, (Athen. 12:2.) in the mountain, separating their country from Media. --- Honoured for his salary. (Calmet)",Haydock Catholic Bible Commentary (1859)
66014,31119,Rev. George Leo Haydock,"Money. People might formerly make use of what was merely deposited in their hands. (Ulpian.) --- The old Latin version has, ""I committed to him ten talents in gold.""",Haydock Catholic Bible Commentary (1859)
66015,31120,Rev. George Leo Haydock,"Time. Salmanasar reigned fourteen years; seven after the captivity, which to people in distress would appear long. (Calmet) --- Greek, ""And after Enemessar was dead, Sennacherib, his son, reigned in his stead; and his ways ceased, (or his high roads were stopped) and I could no longer go into Media."" (Haydock) --- We find nothing in history to confirm this stoppage: (Calmet) but it might be in consequence of the wars. (Houbigant) See the preface. (Haydock) --- Israel. This hatred was augmented, after the unfortunate expedition into Palestine. (Calmet) (Menochius) (4 Kings 19:35.)",Haydock Catholic Bible Commentary (1859)
66016,31121,Rev. George Leo Haydock,"Goods, under Sennacherib; though he was now deprived of his place. (Calmet) --- Greek, Syriac, and Hebrew insinuate, that this happened under his predecessor. (Haydock)",Haydock Catholic Bible Commentary (1859)
