id,strongs_number,language,original_word,transliteration,pronunciation,definition,kjv_usage,outline
14198,H1,hebrew,אָב,ʼâb,awb,"father, in a literal and immediate, or figurative and remote application","chief, (fore-) father(-less), [idiom] patrimony, principal. Compare names in 'Abi-'.",a primitive word;
14199,H2,hebrew,אַב,ʼab,ab,{father},father.,(Aramaic) corresponding to H1 (אָב)
14200,H3,hebrew,אֵב,ʼêb,abe,a green plant,"greenness, fruit.",from the same as H24 (אָבִיב);
14201,H4,hebrew,אֵב,ʼêb,abe,{a green plant},fruit.,(Aramaic) corresponding to H3 (אֵב)
14202,H5,hebrew,אֲבַגְתָא,ʼĂbagthâʼ,ab-ag-thaw',"Abagtha, a eunuch of Xerxes",Abagtha.,of foreign origin;
14203,H6,hebrew,אָבַד,ʼâbad,aw-bad',"properly, to wander away, i.e. lose oneself; by implication to perish (causative, destroy)","break, destroy(-uction), [phrase] not escape, fail, lose, (cause to, make) perish, spend, [idiom] and surely, take, be undone, [idiom] utterly, be void of, have no way to flee.",a primitive root;
14204,H7,hebrew,אֲבַד,ʼăbad,ab-ad',"{properly, to wander away, i.e. lose oneself; by implication to perish (causative, destroy)}","destroy, perish.",(Aramaic) corresponding to H6 (אָבַד)
14205,H8,hebrew,אֹבֵד,ʼôbêd,o-bade',(concrete) wretched or (abstract) destruction,perish.,active of participle of H6 (אָבַד);
14206,H9,hebrew,אֲבֵדָה,ʼăbêdâh,ab-ay-daw',"concrete, something lost; abstract, destruction, i.e. Hades",lost.,from H6 (אָבַד); Compare H10 (אֲבַדֹּה).
14207,H10,hebrew,אֲבַדֹּה,ʼăbaddôh,ab-ad-do',a perishing,destruction.,"the same as H9 (אֲבֵדָה), miswritten for H11 (אֲבַדּוֹן);"
14208,H11,hebrew,אֲבַדּוֹן,ʼăbaddôwn,ab-ad-done',"abstract, a perishing; concrete, Hades",destruction.,intensive from H6 (אָבַד);
14209,H12,hebrew,אַבְדָן,ʼabdân,ab-dawn',a perishing,destruction.,from H6 (אָבַד);
14210,H13,hebrew,אׇבְדַן,ʼobdan,ob-dawn',a perishing,destruction.,from H6 (אָבַד);
14211,H14,hebrew,אָבָה,ʼâbâh,aw-baw',"to breathe after, i.e. (figuratively) to be acquiescent","consent, rest content will, be willing.",a primitive root;
14212,H15,hebrew,אָבֶה,ʼâbeh,aw-beh',longing,desire.,from H14 (אָבָה);
14213,H16,hebrew,אֵבֶה,ʼêbeh,ay-beh',the papyrus,swift.,from H14 (אָבָה) (in the sense of bending toward);
14214,H17,hebrew,אֲבוֹי,ʼăbôwy,ab-o'ee,want,sorrow.,from H14 (אָבָה) (in the sense of desiring);
14215,H18,hebrew,אֵבוּס,ʼêbûwç,ay-booce',a manger or stall,crib.,from H75 (אָבַס);
14216,H19,hebrew,אִבְחָה,ʼibchâh,ib-khaw',brandishing of a sword,point.,from an unused root (apparently meaning to turn);
14217,H20,hebrew,אֲבַטִּיחַ,ʼăbaṭṭîyach,ab-at-tee'-akh,a melon (only plural),melon.,of uncertain derivation;
14218,H21,hebrew,אֲבִי,ʼĂbîy,ab-ee',"Abi, Hezekiah's mother",Abi.,from H1 (אָב); fatherly;
14219,H22,hebrew,אֲבִיאֵל,ʼĂbîyʼêl,ab-ee-ale',"Abiel, the name of two Israelites",Abiel.,from H1 (אָב) and H410 (אֵל); father (i.e. possessor) of God;
14220,H23,hebrew,אֲבִיאָסָף,ʼĂbîyʼâçâph,ab-ee-aw-sawf',"Abiasaph, an Israelite",Abiasaph.,from H1 (אָב) and H622 (אָסַף); father of gathering (i.e. gatherer);
14221,H24,hebrew,אָבִיב,ʼâbîyb,aw-beeb',"green, i.e. a young ear of grain; hence, the name of the month Abib or Nisan","Abib, ear, green ears of corn (not maize).",from an unused root (meaning to be tender);
14222,H25,hebrew,אֲבִי גִבְעוֹן,ʼĂbîy Gibʻôwn,ab-ee' ghib-one',"Abi-Gibon, perhaps an Israelite",father of Gibeon.,from H1 (אָב) and H1391 (גִּבְעוֹן); father (i.e. founder) of Gibon;
14223,H26,hebrew,אֲבִיגַיִל,ʼĂbîygayil,ab-ee-gah'-yil,"Abigail or Abigal, the name of two Israelitesses",Abigal.,or shorter אֲבִיגַל; from H1 (אָב) and H1524 (גִּיל); father (i.e. source) of joy;
14224,H27,hebrew,אֲבִידָן,ʼĂbîydân,ab-ee-dawn',"Abidan, an Israelite",Abidan.,from H1 (אָב) and H1777 (דִּין); father of judgment (i.e. judge);
14225,H28,hebrew,אֲבִידָע,ʼĂbîydâʻ,ab-ee-daw',"Abida, a son of Abraham by Keturah","Abida, Abidah.",from H1 (אָב) and H3045 (יָדַע); father of knowledge (i.e. knowing);
14226,H29,hebrew,אֲבִיָּה,ʼĂbîyâh,ab-ee-yaw',"Abijah, the name of several Israelite men and two Israelitesses","Abiah, Abijah.",or prolonged אֲבִיָּהוּ ; from H1 (אָב) and H3050 (יָהּ); father (i.e. worshipper) of Jah;
14227,H30,hebrew,אֲבִיהוּא,ʼĂbîyhûwʼ,ab-ee-hoo',"Abihu, a son of Aaron",Abihu.,from H1 (אָב) and H1931 (הוּא); father (i.e. worshipper) of Him (i.e. God);
14228,H31,hebrew,אֲבִיהוּד,ʼĂbîyhûwd,ab-ee-hood',"Abihud, the name of two Israelites",Abihud.,from H1 (אָב) and H1935 (הוֹד); father (i.e. possessor) of renown;
14229,H32,hebrew,אֲבִיהַיִל,ʼĂbîyhayil,ab-ee-hah'-yil,"Abihail or Abichail, the name of three Israelites and two Israelitesses",Abihail.,or (more correctly) אֲבִיחַיִל ; from H1 (אָב) and H2428 (חַיִל); father (i.e. possessor) of might;
14230,H33,hebrew,אֲבִי הָעֶזְרִי,ʼĂbîy hâ-ʻEzrîy,ab-ee'-haw-ez-ree',an Abiezrite or descendant of Abiezer,Abiezrite.,from H44 (אֲבִיעֶזֶר) with the article inserted; father of the Ezrite;
14231,H34,hebrew,אֶבְיוֹן,ʼebyôwn,eb-yone',destitute,"beggar, needy, poor (man).","from H14 (אָבָה), in the sense of want (especially in feeling);"
14232,H35,hebrew,אֲבִיּוֹנָה,ʼăbîyôwnâh,ab-ee-yo-naw',provocative of desire; the caper berry (from its stimulative taste),desire.,from H14 (אָבָה);
14233,H36,hebrew,אֲבִיטוּב,ʼĂbîyṭûwb,ab-ee-toob',"Abitub, an Israelite",Abitub.,from H1 (אָב) and H2898 (טוּב); father of goodness (i.e. good);
14234,H37,hebrew,אֲבִיטָל,ʼĂbîyṭâl,ab-ee-tal',"Abital, a wife of King David",Abital.,from H1 (אָב) and H2919 (טַל); father of dew (i.e. fresh);
14235,H38,hebrew,אֲבִיָּם,ʼĂbîyâm,ab-ee-yawm',"Abijam (or Abijah), a king of Judah",Abijam.,from H1 (אָב) and H3220 (יָם); father of (the) sea (i.e. seaman);
14236,H39,hebrew,אֲבִימָאֵל,ʼĂbîymâʼêl,ab-ee-maw-ale',"Abimael, a son of Joktan",Abimael.,from H1 (אָב) and an elsewhere unused (probably foreign) word; father of Mael (apparently some Arab tribe);
14237,H40,hebrew,אֲבִימֶלֶךְ,ʼĂbîymelek,ab-ee-mel'-ek,"Abimelek, the name of two Philistine kings and of two Israelites",Abimelech.,from H1 (אָב) and H4428 (מֶלֶךְ); father of (the) king;
14238,H41,hebrew,אֲבִינָדָב,ʼĂbîynâdâb,ab-ee-naw-dawb',"Abinadab, the name of four Israelites",Abinadab.,from H1 (אָב) and H5068 (נָדַב); father of generosity (i.e. liberal);
14239,H42,hebrew,אֲבִינֹעַם,ʼĂbîynôʻam,ab-ee-no'-am,"Abinoam, an Israelite",Abinoam.,from H1 (אָב) and H5278 (נֹעַם); father of pleasantness (i.e. gracious);
14240,H43,hebrew,אֶבְיָסָף,ʼEbyâçâph,eb-yaw-sawf',"Ebjasaph, an Israelite",Ebiasaph.,contracted from H23 (אֲבִיאָסָף);
14241,H44,hebrew,אֲבִיעֶזֶר,ʼĂbîyʻezer,ab-ee-ay'-zer,"Abiezer, the name of two Israelites",Abiezer.,from H1 (אָב) and H5829 (עֵזֶר); father of help (i.e. helpful);
14242,H45,hebrew,אֲבִי־עַלְבוֹן,ʼĂbîy-ʻalbôwn,ab-ee-al-bone',"Abialbon, an Israelite",Abialbon.,"from H1 (אָב) and an unused root of uncertain derivation; probably, father of strength (i.e. valiant);"
14243,H46,hebrew,אָבִיר,ʼâbîyr,aw-beer',mighty (spoken of God),mighty (one).,from H82 (אָבַר);
14244,H47,hebrew,אַבִּיר,ʼabbîyr,ab-beer',{mighty (spoken of God)},"angel, bull, chiefest, mighty (one), stout(-hearted), strong (one), valiant.",for H46 (אָבִיר)
14245,H48,hebrew,אֲבִירָם,ʼĂbîyrâm,ab-ee-rawm',"Abiram, the name of two Israelites",Abiram.,from H1 (אָב) and H7311 (רוּם); father of height (i.e. lofty);
14246,H49,hebrew,אֲבִישַׁג,ʼĂbîyshag,ab-ee-shag',"Abishag, a concubine of David",Abishag.,from H1 (אָב) and H7686 (שָׁגָה); father of error (i.e. blundering);
14247,H50,hebrew,אֲבִישׁוּעַ,ʼĂbîyshûwaʻ,ab-ee-shoo'-ah,"Abishua, the name of two Israelites",Abishua.,from H1 (אָב) and H7771 (שׁוֹעַ); father of plenty (i.e. prosperous);
14248,H51,hebrew,אֲבִישׁוּר,ʼĂbîyshûwr,ab-ee-shoor',"Abishur, an Israelite",Abishur.,from H1 (אָב) and H7791 (שׁוּר); father of (the) wall (i.e. perhaps mason);
14249,H52,hebrew,אֲבִישַׁי,ʼĂbîyshay,ab-ee-shah'ee,"Abishai, an Israelite",Abishai.,or (shorter) אַבְשַׁי ; from H1 (אָב) and H7862 (שַׁי); father of a gift (i.e. probably generous);
14250,H53,hebrew,אֲבִישָׁלוֹם,ʼĂbîyshâlôwm,ab-ee-shaw-lome',"Abshalom, a son of David; also (the fuller form) a later Israelite","Abishalom, Absalom.",or (shortened) אַבְשָׁלוֹם ; from H1 (אָב) and H7965 (שָׁלוֹם); father of peace (i.e. friendly);
14251,H54,hebrew,אֶבְיָתָר,ʼEbyâthâr,ab-yaw-thawr',"Ebjathar, an Israelite",Abiathar.,contracted from H1 (אָב) and H3498 (יָתַר); father of abundance (i.e. liberal);
14252,H55,hebrew,אָבַךְ,ʼâbak,aw-bak',probably to coil upward,mount up.,a primitive root;
14253,H56,hebrew,אָבַל,ʼâbal,aw-bal',to bewail,"lament, mourn.",a primitive root;
14254,H57,hebrew,אָבֵל,ʼâbêl,aw-bale',lamenting,"mourn(-er, -ing).",from H56 (אָבַל);
14255,H58,hebrew,אָבֵל,ʼâbêl,aw-bale',a meadow,plain. Compare also the proper names beginning with Abel-.,from an unused root (meaning to be grassy);
14256,H59,hebrew,אָבֵל,ʼÂbêl,aw-bale',"Abel, the name of two places in Palestine.",Abel.,from H58 (אָבֵל); a meadow;
14257,H60,hebrew,אֵבֶל,ʼêbel,ay'-bel,lamentation,mourning.,from H56 (אָבַל);
14258,H61,hebrew,אֲבָל,ʼăbâl,ab-awl',"nay, i.e. truly or yet","but, indeed, nevertheless, verily.",apparently from H56 (אָבַל) through the idea of negation;
14259,H62,hebrew,אָבֵל בֵּית־מֲעַכָה,ʼÂbêl Bêyth-Măʻakâh,aw-bale' bayth ma-akaw',"Abel of Beth-maakah, a place in Palestine","Abel-beth-maachah, Abel of Beth-maachah,",from H58 (אָבֵל) and H1004 (בַּיִת) and H4601 (מַעֲכָה); meadow of Beth-Maakah;
14260,H63,hebrew,אָבֵל הַשִּׁטִּים,ʼÂbêl hash-Shiṭṭîym,aw-bale' hash-shit-teem',"Abel hash-Shittim, a place in Palestine",Abelshittim.,"from H58 (אָבֵל) and the plural of H7848 (שִׁטָּה), with the article inserted; meadow of the acacias;"
14261,H64,hebrew,אָבֵל כְּרָמִים,ʼÂbêl Kᵉrâmîym,aw-bale' ker-aw-meem',"Abel-Keramim, a place in Palestine",plain of the vineyards.,from H58 (אָבֵל) and the plural of H3754 (כֶּרֶם); meadow of vineyards;
