id,book_id,chapter,verse,text,text_web,text_kjv
31103,67,1,1,"The book of the words of Tobit, son of Tobiel, the son of Ananiel, the son of Aduel, the son of Gabael, of the seed of Asael, of the tribe of Nephthali;", "The book of the words of Tobit, son of Tobiel, the son of Ananiel, the son of Aduel, the son of Gabael, of the seed of Asael, of the tribe of Nephthali;", ""
31104,67,1,2,"Who in the time of Enemessar king of the Assyrians was led captive out of Thisbe, which is at the right hand of that city, which is called properly Nephthali in Galilee above Aser.", "Who in the time of Enemessar king of the Assyrians was led captive out of Thisbe, which is at the right hand of that city, which is called properly Nephthali in Galilee above Aser.", ""
31105,67,1,3,"I Tobit have walked all the days of my life in the ways of truth and justice, and I did many almsdeeds to my brethren, and my nation, who came with me to Nineve, into the land of the Assyrians.", "I Tobit have walked all the days of my life in the ways of truth and justice, and I did many almsdeeds to my brethren, and my nation, who came with me to Nineve, into the land of the Assyrians.", ""
31106,67,1,4,"And when I was in mine own country, in the land of Israel being but young, all the tribe of Nephthali my father fell from the house of Jerusalem, which was chosen out of all the tribes of Israel, that all the tribes should sacrifice there, where the temple of the habitation of the most High was consecrated and built for all ages.", "And when I was in mine own country, in the land of Israel being but young, all the tribe of Nephthali my father fell from the house of Jerusalem, which was chosen out of all the tribes of Israel, that all the tribes should sacrifice there, where the temple of the habitation of the most High was consecrated and built for all ages.", ""
31107,67,1,5,"Now all the tribes which together revolted, and the house of my father Nephthali, sacrificed unto the heifer Baal.", "Now all the tribes which together revolted, and the house of my father Nephthali, sacrificed unto the heifer Baal.", ""
31108,67,1,6,"But I alone went often to Jerusalem at the feasts, as it was ordained unto all the people of Israel by an everlasting decree, having the firstfruits and tenths of increase, with that which was first shorn; and them gave I at the altar to the priests the children of Aaron.", "But I alone went often to Jerusalem at the feasts, as it was ordained unto all the people of Israel by an everlasting decree, having the firstfruits and tenths of increase, with that which was first shorn; and them gave I at the altar to the priests the children of Aaron.", ""
31109,67,1,7,"The first tenth part of all increase I gave to the sons of Aaron, who ministered at Jerusalem: another tenth part I sold away, and went, and spent it every year at Jerusalem:", "The first tenth part of all increase I gave to the sons of Aaron, who ministered at Jerusalem: another tenth part I sold away, and went, and spent it every year at Jerusalem:", ""
31110,67,1,8,"And the third I gave unto them to whom it was meet, as Debora my father’s mother had commanded me, because I was left an orphan by my father.", "And the third I gave unto them to whom it was meet, as Debora my father’s mother had commanded me, because I was left an orphan by my father.", ""
31111,67,1,9,"Furthermore, when I was come to the age of a man, I married Anna of mine own kindred, and of her I begat Tobias.", "Furthermore, when I was come to the age of a man, I married Anna of mine own kindred, and of her I begat Tobias.", ""
31112,67,1,10,"And when we were carried away captives to Nineve, all my brethren and those that were of my kindred did eat of the bread of the Gentiles.", "And when we were carried away captives to Nineve, all my brethren and those that were of my kindred did eat of the bread of the Gentiles.", ""
31113,67,1,11,"But I kept myself from eating;", "But I kept myself from eating;", ""
31114,67,1,12,"Because I remembered God with all my heart.", "Because I remembered God with all my heart.", ""
31115,67,1,13,"And the most High gave me grace and favour before Enemessar, so that I was his purveyor.", "And the most High gave me grace and favour before Enemessar, so that I was his purveyor.", ""
31116,67,1,14,"And I went into Media, and left in trust with Gabael, the brother of Gabrias, at Rages a city of Media ten talents of silver.", "And I went into Media, and left in trust with Gabael, the brother of Gabrias, at Rages a city of Media ten talents of silver.", ""
31117,67,1,15,"Now when Enemessar was dead, Sennacherib his son reigned in his stead; whose estate was troubled, that I could not go into Media.", "Now when Enemessar was dead, Sennacherib his son reigned in his stead; whose estate was troubled, that I could not go into Media.", ""
31118,67,1,16,"And in the time of Enemessar I gave many alms to my brethren, and gave my bread to the hungry,", "And in the time of Enemessar I gave many alms to my brethren, and gave my bread to the hungry,", ""
31119,67,1,17,"And my clothes to the naked: and if I saw any of my nation dead, or cast about the walls of Nineve, I buried him.", "And my clothes to the naked: and if I saw any of my nation dead, or cast about the walls of Nineve, I buried him.", ""
31120,67,1,18,"And if the king Sennacherib had slain any, when he was come, and fled from Judea, I buried them privily; for in his wrath he killed many; but the bodies were not found, when they were sought for of the king.", "And if the king Sennacherib had slain any, when he was come, and fled from Judea, I buried them privily; for in his wrath he killed many; but the bodies were not found, when they were sought for of the king.", ""
31121,67,1,19,"And when one of the Ninevites went and complained of me to the king, that I buried them, and hid myself; understanding that I was sought for to be put to death, I withdrew myself for fear.", "And when one of the Ninevites went and complained of me to the king, that I buried them, and hid myself; understanding that I was sought for to be put to death, I withdrew myself for fear.", ""
31122,67,1,20,"Then all my goods were forcibly taken away, neither was there any thing left me, beside my wife Anna and my son Tobias.", "Then all my goods were forcibly taken away, neither was there any thing left me, beside my wife Anna and my son Tobias.", ""
31123,67,1,21,"And there passed not five and fifty days, before two of his sons killed him, and they fled into the mountains of Ararath; and Sarchedonus his son reigned in his stead; who appointed over his father’s accounts, and over all his affairs, Achiacharus my brother Anael’s son.", "And there passed not five and fifty days, before two of his sons killed him, and they fled into the mountains of Ararath; and Sarchedonus his son reigned in his stead; who appointed over his father’s accounts, and over all his affairs, Achiacharus my brother Anael’s son.", ""
31124,67,1,22,"And Achiacharus intreating for me, I returned to Nineve. Now Achiacharus was cupbearer, and keeper of the signet, and steward, and overseer of the accounts: and Sarchedonus appointed him next unto him: and he was my brother’s son.", "And Achiacharus intreating for me, I returned to Nineve. Now Achiacharus was cupbearer, and keeper of the signet, and steward, and overseer of the accounts: and Sarchedonus appointed him next unto him: and he was my brother’s son.", ""
31125,67,2,1,"Now when I was come home again, and my wife Anna was restored unto me, with my son Tobias, in the feast of Pentecost, which is the holy feast of the seven weeks, there was a good dinner prepared me, in the which I sat down to eat.", "Now when I was come home again, and my wife Anna was restored unto me, with my son Tobias, in the feast of Pentecost, which is the holy feast of the seven weeks, there was a good dinner prepared me, in the which I sat down to eat.", ""
31126,67,2,2,"And when I saw abundance of meat, I said to my son, Go and bring what poor man soever thou shalt find out of our brethren, who is mindful of the Lord; and, lo, I tarry for thee.", "And when I saw abundance of meat, I said to my son, Go and bring what poor man soever thou shalt find out of our brethren, who is mindful of the Lord; and, lo, I tarry for thee.", ""
31127,67,2,3,"But he came again, and said, Father, one of our nation is strangled, and is cast out in the marketplace.", "But he came again, and said, Father, one of our nation is strangled, and is cast out in the marketplace.", ""
31128,67,2,4,"Then before I had tasted of any meat, I started up, and took him up into a room until the going down of the sun.", "Then before I had tasted of any meat, I started up, and took him up into a room until the going down of the sun.", ""
31129,67,2,5,"Then I returned, and washed myself, and ate my meat in heaviness,", "Then I returned, and washed myself, and ate my meat in heaviness,", ""
31130,67,2,6,"Remembering that prophecy of Amos, as he said, Your feasts shall be turned into mourning, and all your mirth into lamentation.", "Remembering that prophecy of Amos, as he said, Your feasts shall be turned into mourning, and all your mirth into lamentation.", ""
31131,67,2,7,"Therefore I wept: and after the going down of the sun I went and made a grave, and buried him.", "Therefore I wept: and after the going down of the sun I went and made a grave, and buried him.", ""
31132,67,2,8,"But my neighbours mocked me, and said, This man is not yet afraid to be put to death for this matter: who fled away; and yet, lo, he burieth the dead again.", "But my neighbours mocked me, and said, This man is not yet afraid to be put to death for this matter: who fled away; and yet, lo, he burieth the dead again.", ""
31133,67,2,9,"The same night also I returned from the burial, and slept by the wall of my courtyard, being polluted and my face was uncovered:", "The same night also I returned from the burial, and slept by the wall of my courtyard, being polluted and my face was uncovered:", ""
31134,67,2,10,"And I knew not that there were sparrows in the wall, and mine eyes being open, the sparrows muted warm dung into mine eyes, and a whiteness came in mine eyes: and I went to the physicians, but they helped me not: moreover Achiacharus did nourish me, until I went into Elymais.", "And I knew not that there were sparrows in the wall, and mine eyes being open, the sparrows muted warm dung into mine eyes, and a whiteness came in mine eyes: and I went to the physicians, but they helped me not: moreover Achiacharus did nourish me, until I went into Elymais.", ""
31135,67,2,11,"And my wife Anna did take women’s works to do.", "And my wife Anna did take women’s works to do.", ""
31136,67,2,12,"And when she had sent them home to the owners, they paid her wages, and gave her also besides a kid.", "And when she had sent them home to the owners, they paid her wages, and gave her also besides a kid.", ""
31137,67,2,13,"And when it was in my house, and began to cry, I said unto her, From whence is this kid? is it not stolen? render it to the owners; for it is not lawful to eat any thing that is stolen.", "And when it was in my house, and began to cry, I said unto her, From whence is this kid? is it not stolen? render it to the owners; for it is not lawful to eat any thing that is stolen.", ""
31138,67,2,14,"But she replied upon me, It was given for a gift more than the wages. Howbeit I did not believe her, but bade her render it to the owners: and I was abashed at her. But she replied upon me, Where are thine alms and thy righteous deeds? behold, thou and all thy works are known.", "But she replied upon me, It was given for a gift more than the wages. Howbeit I did not believe her, but bade her render it to the owners: and I was abashed at her. But she replied upon me, Where are thine alms and thy righteous deeds? behold, thou and all thy works are known.", ""
31139,67,3,1,"Then I being grieved did weep, and in my sorrow prayed, saying,", "Then I being grieved did weep, and in my sorrow prayed, saying,", ""
31140,67,3,2,"O Lord, thou art just, and all thy works and all thy ways are mercy and truth, and thou judgest truly and justly for ever.", "O Lord, thou art just, and all thy works and all thy ways are mercy and truth, and thou judgest truly and justly for ever.", ""
31141,67,3,3,"Remember me, and look on me, punish me not for my sins and ignorances, and the sins of my fathers, who have sinned before thee:", "Remember me, and look on me, punish me not for my sins and ignorances, and the sins of my fathers, who have sinned before thee:", ""
31142,67,3,4,"For they obeyed not thy commandments: wherefore thou hast delivered us for a spoil, and unto captivity, and unto death, and for a proverb of reproach to all the nations among whom we are dispersed.", "For they obeyed not thy commandments: wherefore thou hast delivered us for a spoil, and unto captivity, and unto death, and for a proverb of reproach to all the nations among whom we are dispersed.", ""
31143,67,3,5,"And now thy judgments are many and true: deal with me according to my sins and my fathers’: because we have not kept thy commandments, neither have walked in truth before thee.", "And now thy judgments are many and true: deal with me according to my sins and my fathers’: because we have not kept thy commandments, neither have walked in truth before thee.", ""
31144,67,3,6,"Now therefore deal with me as seemeth best unto thee, and command my spirit to be taken from me, that I may be dissolved, and become earth: for it is profitable for me to die rather than to live, because I have heard false reproaches, and have much sorrow: command therefore that I may now be delivered out of this distress, and go into the everlasting place: turn not thy face away from me.", "Now therefore deal with me as seemeth best unto thee, and command my spirit to be taken from me, that I may be dissolved, and become earth: for it is profitable for me to die rather than to live, because I have heard false reproaches, and have much sorrow: command therefore that I may now be delivered out of this distress, and go into the everlasting place: turn not thy face away from me.", ""
31145,67,3,7,"It came to pass the same day, that in Ecbatane a city of Media Sara the daughter of Raguel was also reproached by her father’s maids;", "It came to pass the same day, that in Ecbatane a city of Media Sara the daughter of Raguel was also reproached by her father’s maids;", ""
31146,67,3,8,"Because that she had been married to seven husbands, whom Asmodeus the evil spirit had killed, before they had lain with her. Dost thou not know, said they, that thou hast strangled thine husbands? thou hast had already seven husbands, neither wast thou named after any of them.", "Because that she had been married to seven husbands, whom Asmodeus the evil spirit had killed, before they had lain with her. Dost thou not know, said they, that thou hast strangled thine husbands? thou hast had already seven husbands, neither wast thou named after any of them.", ""
31147,67,3,9,"Wherefore dost thou beat us for them? if they be dead, go thy ways after them, let us never see of thee either son or daughter.", "Wherefore dost thou beat us for them? if they be dead, go thy ways after them, let us never see of thee either son or daughter.", ""
31148,67,3,10,"Whe she heard these things, she was very sorrowful, so that she thought to have strangled herself; and she said, I am the only daughter of my father, and if I do this, it shall be a reproach unto him, and I shall bring his old age with sorrow unto the grave.", "Whe she heard these things, she was very sorrowful, so that she thought to have strangled herself; and she said, I am the only daughter of my father, and if I do this, it shall be a reproach unto him, and I shall bring his old age with sorrow unto the grave.", ""
31149,67,3,11,"Then she prayed toward the window, and said, Blessed art thou, O Lord my God, and thine holy and glorious name is blessed and honourable for ever: let all thy works praise thee for ever.", "Then she prayed toward the window, and said, Blessed art thou, O Lord my God, and thine holy and glorious name is blessed and honourable for ever: let all thy works praise thee for ever.", ""
31150,67,3,12,"And now, O Lord, I set mine eyes and my face toward thee,", "And now, O Lord, I set mine eyes and my face toward thee,", ""
31151,67,3,13,"And say, Take me out of the earth, that I may hear no more the reproach.", "And say, Take me out of the earth, that I may hear no more the reproach.", ""
31152,67,3,14,"Thou knowest, Lord, that I am pure from all sin with man,", "Thou knowest, Lord, that I am pure from all sin with man,", ""
31153,67,3,15,"And that I never polluted my name, nor the name of my father, in the land of my captivity: I am the only daughter of my father, neither hath he any child to be his heir, neither any near kinsman, nor any son of his alive, to whom I may keep myself for a wife: my seven husbands are already dead; and why should I live? but if it please not thee that I should die, command some regard to be had of me, and pity taken of me, that I hear no more reproach.", "And that I never polluted my name, nor the name of my father, in the land of my captivity: I am the only daughter of my father, neither hath he any child to be his heir, neither any near kinsman, nor any son of his alive, to whom I may keep myself for a wife: my seven husbands are already dead; and why should I live? but if it please not thee that I should die, command some regard to be had of me, and pity taken of me, that I hear no more reproach.", ""
31154,67,3,16,"So the prayers of them both were heard before the majesty of the great God.", "So the prayers of them both were heard before the majesty of the great God.", ""
31155,67,3,17,"And Raphael was sent to heal them both, that is, to scale away the whiteness of Tobit’s eyes, and to give Sara the daughter of Raguel for a wife to Tobias the son of Tobit; and to bind Asmodeus the evil spirit; because she belonged to Tobias by right of inheritance. The selfsame time came Tobit home, and entered into his house, and Sara the daughter of Raguel came down from her upper chamber.", "And Raphael was sent to heal them both, that is, to scale away the whiteness of Tobit’s eyes, and to give Sara the daughter of Raguel for a wife to Tobias the son of Tobit; and to bind Asmodeus the evil spirit; because she belonged to Tobias by right of inheritance. The selfsame time came Tobit home, and entered into his house, and Sara the daughter of Raguel came down from her upper chamber.", ""
31156,67,4,1,"In that day Tobit remembered the money which he had committed to Gabael in Rages of Media,", "In that day Tobit remembered the money which he had committed to Gabael in Rages of Media,", ""
31157,67,4,2,"And said with himself, I have wished for death; wherefore do I not call for my son Tobias that I may signify to him of the money before I die?", "And said with himself, I have wished for death; wherefore do I not call for my son Tobias that I may signify to him of the money before I die?", ""
31158,67,4,3,"And when he had called him, he said, My son, when I am dead, bury me; and despise not thy mother, but honour her all the days of thy life, and do that which shall please her, and grieve her not.", "And when he had called him, he said, My son, when I am dead, bury me; and despise not thy mother, but honour her all the days of thy life, and do that which shall please her, and grieve her not.", ""
31159,67,4,4,"Remember, my son, that she saw many dangers for thee, when thou wast in her womb: and when she is dead, bury her by me in one grave.", "Remember, my son, that she saw many dangers for thee, when thou wast in her womb: and when she is dead, bury her by me in one grave.", ""
31160,67,4,5,"My son, be mindful of the Lord our God all thy days, and let not thy will be set to sin, or to transgress his commandments: do uprightly all thy life long, and follow not the ways of unrighteousness.", "My son, be mindful of the Lord our God all thy days, and let not thy will be set to sin, or to transgress his commandments: do uprightly all thy life long, and follow not the ways of unrighteousness.", ""
31161,67,4,6,"For if thou deal truly, thy doings shall prosperously succeed to thee, and to all them that live justly.", "For if thou deal truly, thy doings shall prosperously succeed to thee, and to all them that live justly.", ""
31162,67,4,7,"Give alms of thy substance; and when thou givest alms, let not thine eye be envious, neither turn thy face from any poor, and the face of God shall not be turned away from thee.", "Give alms of thy substance; and when thou givest alms, let not thine eye be envious, neither turn thy face from any poor, and the face of God shall not be turned away from thee.", ""
31163,67,4,8,"If thou hast abundance give alms accordingly: if thou have but a little, be not afraid to give according to that little:", "If thou hast abundance give alms accordingly: if thou have but a little, be not afraid to give according to that little:", ""
31164,67,4,9,"For thou layest up a good treasure for thyself against the day of necessity.", "For thou layest up a good treasure for thyself against the day of necessity.", ""
31165,67,4,10,"Because that alms do deliver from death, and suffereth not to come into darkness.", "Because that alms do deliver from death, and suffereth not to come into darkness.", ""
31166,67,4,11,"For alms is a good gift unto all that give it in the sight of the most High.", "For alms is a good gift unto all that give it in the sight of the most High.", ""
